Red Baseball Cap Limited | Asset ID: 1028606 | Owners: 44,400
Garbage Can Shield and Wooden Sword Set | Asset ID: 75550928 | Owners: 565
Duelling Glove | Asset ID: 75556791 | Owners: 356
Lobster | Asset ID: 75906930 | Owners: 8,386
Slappy Salmon | Asset ID: 75906942 | Owners: 5,101
Wooden Mallet | Asset ID: 75906973 | Owners: 18,381
Monster Friend Limited | Asset ID: 75941738 | Owners: 408
Robot Dinosaur Bone Helmet | Asset ID: 76059465 | Owners: 1,543
Ammo Hat | Asset ID: 76063035 | Owners: 2,898
The Reckoner Limited | Asset ID: 76063064 | Owners: 244
Three Stooges Cap | Asset ID: 76078508 | Owners: 24,056
Alien Parasite | Asset ID: 76170515 | Owners: 1,852
Race the Sunset | Asset ID: 76170545 | Owners: 480
Superhero Potion | Asset ID: 76262706 | Owners: 766
Long-Range Proton Crossbow | Asset ID: 76596269 | Owners: 7,110
Phantom Falchion: A Walmart Exclusive | Asset ID: 76596299 | Owners: 4,961
Futuristic Egg of Antigravity Limited | Asset ID: 76692077 | Owners: 28,871
Charles Babbage Fabergé Egg Limited | Asset ID: 76692101 | Owners: 14,880
Chaos Canyon Sugar Egg Limited | Asset ID: 76692143 | Owners: 15,203
Crossroads Sugar Egg Limited | Asset ID: 76692172 | Owners: 13,187
Insanely Valuable Crystal Egg Limited | Asset ID: 76692196 | Owners: 17,756
Eggcognito Egg Limited | Asset ID: 76692214 | Owners: 26,573
Eggsterminator Egg Limited | Asset ID: 76692249 | Owners: 24,007
Egg Timer Limited | Asset ID: 76692269 | Owners: 37,532
Egg of All-Devouring Darkness Limited | Asset ID: 76692291 | Owners: 11,703
Azurewrath Fabergé Egg Limited | Asset ID: 76692318 | Owners: 14,342
Ethereal Ghost Egg Limited | Asset ID: 76692331 | Owners: 25,725
Self Replicating Egg of Grey Goo Limited | Asset ID: 76692350 | Owners: 17,759
Hyperactive Egg of Hyperactivity Limited | Asset ID: 76692381 | Owners: 54,152
The Last Egg of 2012 Limited | Asset ID: 76692407 | Owners: 199,422
Combo Egg of Trolllolol Limited | Asset ID: 76692437 | Owners: 32,999
Molten Meteoric Core Egg Limited | Asset ID: 76692515 | Owners: 26,481
Office Professional Egg Limited | Asset ID: 76692532 | Owners: 27,493
Ruby Filigree Fabergé Egg Limited | Asset ID: 76692582 | Owners: 13,064
Sword Fight on the Heights Sugar Egg Limited | Asset ID: 76692611 | Owners: 13,052
Elevated Egg of the Eyrie Limited | Asset ID: 76692637 | Owners: 22,188
Stooge Egg | Asset ID: 76692709 | Owners: 5,691
Subterranean Egg Limited | Asset ID: 76692739 | Owners: 28,380
Terrordactyl Egg Limited | Asset ID: 76692790 | Owners: 12,475
Vampiric Egg of Twilight Limited | Asset ID: 76692831 | Owners: 27,166
Aqueous Egg of River Riding Limited | Asset ID: 76692866 | Owners: 29,314
Egglord's Rexus | Asset ID: 76695524 | Owners: 793
Egglord's Circlet | Asset ID: 76695554 | Owners: 1,150
Baseball Bunty | Asset ID: 76698490 | Owners: 854
Bunny Brigade Limited | Asset ID: 76698522 | Owners: 410
Egg On A Stick | Asset ID: 76698563 | Owners: 280
Egg Cannon 9000 | Asset ID: 76768897 | Owners: 6,032
Tweet Tweet | Asset ID: 76798388 | Owners: 10,332
Moustache Warrior Limited | Asset ID: 77359568 | Owners: 305
Iron Protector | Asset ID: 77359589 | Owners: 535
Manix Ironstench Limited | Asset ID: 77359620 | Owners: 196
Tainted Guardian | Asset ID: 77359666 | Owners: 1,817
Golden Helmed Horns of the High Blood | Asset ID: 77359753 | Owners: 421
Desert Scout Limited | Asset ID: 77359855 | Owners: 179
Brown Wool Fedora | Asset ID: 77359892 | Owners: 763
Steampunk Sampson | Asset ID: 77360044 | Owners: 239
Swordbreaker | Asset ID: 77443436 | Owners: 3,044
Sword of Darkness Limited | Asset ID: 77443491 | Owners: 218
Green Warrior | Asset ID: 78002403 | Owners: 1,730
Earth Day 2012 | Asset ID: 78002420 | Owners: 3,147
Eco Bot Limited | Asset ID: 78002439 | Owners: 2,827
Aluminum Recycled Bowler Limited | Asset ID: 78002486 | Owners: 290
Blackhole Ray Gun | Asset ID: 78005009 | Owners: 3,752
Flak Cannon Limited | Asset ID: 78005022 | Owners: 286
Sci-Fi MedVac 4300 | Asset ID: 78005082 | Owners: 1,809
1337 R0807 | Asset ID: 78026639 | Owners: 558
Ice Cream with Rainbow Sprinkles | Asset ID: 78033458 | Owners: 2,262
Kooky Wizard Limited | Asset ID: 78033496 | Owners: 838
Deep Forest Wizard | Asset ID: 78033535 | Owners: 690
Ninja of the Future | Asset ID: 78033627 | Owners: 846
Baseball Star | Asset ID: 78033665 | Owners: 5,498
Dude Ranch Cowboy Hat | Asset ID: 78033693 | Owners: 2,973
Tiger Friend | Asset ID: 78367424 | Owners: 4,880
Archery Enthusiast | Asset ID: 78621673 | Owners: 733
Timelord Limited | Asset ID: 78621687 | Owners: 302
Bomber Beanie | Asset ID: 78635235 | Owners: 266
Sweet Treat Beanie | Asset ID: 78635329 | Owners: 340
Shock Trooper | Asset ID: 78635438 | Owners: 4,942
Tropical Island Getaway | Asset ID: 78640220 | Owners: 178
Katana of the Ninth Moon | Asset ID: 78665196 | Owners: 186
Adalinda's Anlance | Asset ID: 78665204 | Owners: 348
Crossbow of the Blades | Asset ID: 78665215 | Owners: 2,833
Body Swap Potion | Asset ID: 78730532 | Owners: 61,104
KRE-O Battleship Trophy | Asset ID: 79391287 | Owners: 27,366
KRE-O Battleship Admiral Shane | Asset ID: 79391346 | Owners: 121,184
KRE-O Battleship Hopper Hat | Asset ID: 79391534 | Owners: 17,443
KRE-O Cap | Asset ID: 79394585 | Owners: 26,321
KRE-O Battleship Cap | Asset ID: 79394871 | Owners: 20,994
RGC 2012 Baseball Cap | Asset ID: 79397145 | Owners: 25,406
Toxic Goo Trap | Asset ID: 79446395 | Owners: 620
Salute | Asset ID: 79446433 | Owners: 480
Dual Dueling Pistols | Asset ID: 79446454 | Owners: 596
Rail Runner 5000 Limited | Asset ID: 79446473 | Owners: 245
Spy Eye | Asset ID: 79736563 | Owners: 5,100
Ruyi Jingu Bang - A Walmart Exclusive | Asset ID: 79736586 | Owners: 3,300
Nordic Conqueror Limited | Asset ID: 80273693 | Owners: 308
Tangerine Titan | Asset ID: 80273992 | Owners: 850
RGC 2012 Visor | Asset ID: 80274774 | Owners: 259
Knight King Limited | Asset ID: 80274859 | Owners: 520
Gray Sk8r Beanie | Asset ID: 80275296 | Owners: 4,102
Twisted Darkling Limited | Asset ID: 80293435 | Owners: 236
Horned Bowler | Asset ID: 80293814 | Owners: 250
Psychedelic Top Hat Limited | Asset ID: 80293983 | Owners: 150
Raptor Head | Asset ID: 80294124 | Owners: 369
Electric Lightning Trap | Asset ID: 80576913 | Owners: 884
Tee Shirt Cannon | Asset ID: 80576928 | Owners: 3,067
Time Bomb | Asset ID: 80576952 | Owners: 340
Spray Paint | Asset ID: 80576967 | Owners: 17,801
A More Elegant Blade | Asset ID: 81155006 | Owners: 488
Time Watch | Asset ID: 81330766 | Owners: 1,707
Floating Energy Core | Asset ID: 81688900 | Owners: 919
1337 Cyber Assassin Limited | Asset ID: 81688937 | Owners: 442
Silver Drake of the Light Limited | Asset ID: 81688955 | Owners: 165
Korblox Servant | Asset ID: 81689019 | Owners: 276
Renegade Master | Asset ID: 81689070 | Owners: 453
Robot Patriot Limited | Asset ID: 81708766 | Owners: 328
Theodorian the Third | Asset ID: 81708799 | Owners: 879
Robber Beanie | Asset ID: 81708856 | Owners: 4,774
1920's Aviator Hat | Asset ID: 81708986 | Owners: 250
Korblox Mage | Asset ID: 81722693 | Owners: 3,175
Darkest Assassin | Asset ID: 81724957 | Owners: 7,506
Potato Cannon | Asset ID: 81847365 | Owners: 1,567
Ameriboard | Asset ID: 81847533 | Owners: 1,661
Military Axe | Asset ID: 81847570 | Owners: 2,833
The Federal Reserve | Asset ID: 81847637 | Owners: 2,231
Soldier Of The Fade Limited | Asset ID: 82331895 | Owners: 327
Plaid Snowboarder | Asset ID: 82332502 | Owners: 5,384
Egg-Bit | Asset ID: 82332540 | Owners: 31,679
Redcliff Cowl | Asset ID: 82332618 | Owners: 2,947
Alligator Skin Top Hat | Asset ID: 82332695 | Owners: 251
Riot Shield and Billy Club Set | Asset ID: 82357079 | Owners: 2,083
Portable Justice | Asset ID: 82357101 | Owners: 4,358
Laser Electrocutor | Asset ID: 82357123 | Owners: 1,651
Police Badge Limited | Asset ID: 82358339 | Owners: 473
Overseer's Eye Limited | Asset ID: 82665932 | Owners: 350
Rockin' Axe | Asset ID: 82707568 | Owners: 5,484
Serpent Staff | Asset ID: 82707577 | Owners: 3,886
Alien on a Rampage Book | Asset ID: 82711866 | Owners: 48,368
Snarffle from Alien on a Rampage | Asset ID: 82711870 | Owners: 76,214
Pink Thug | Asset ID: 83012973 | Owners: 805
Bereted Brunette | Asset ID: 83013016 | Owners: 230
Knightja | Asset ID: 83013050 | Owners: 2,051
Formal Baseball Cap | Asset ID: 83013093 | Owners: 1,436
Galactic Assassin | Asset ID: 83013297 | Owners: 1,298
RC Tank | Asset ID: 83021197 | Owners: 3,150
Shark Launcher Limited | Asset ID: 83021217 | Owners: 420
Starfish Shuriken | Asset ID: 83021236 | Owners: 349
The Fiery Sun | Asset ID: 83021250 | Owners: 2,072
Colossal Blade Limited | Asset ID: 83704154 | Owners: 223
Towering Inferno Sword | Asset ID: 83704169 | Owners: 3,213
Joint Breaker | Asset ID: 83704179 | Owners: 605
Bluster Buster | Asset ID: 83704190 | Owners: 8,142
Fluffy Unicorn Limited | Asset ID: 84012460 | Owners: 717
Helper Cannon | Asset ID: 84417104 | Owners: 255
Dubstep Boombox | Asset ID: 84417281 | Owners: 3,813
RoVacuum 2012 Limited | Asset ID: 84418938 | Owners: 543
Nuclear Arms | Asset ID: 84419543 | Owners: 600
Bear Arm | Asset ID: 85145626 | Owners: 238
Lunar Lander 2D Game | Asset ID: 85145662 | Owners: 718
Pararocket | Asset ID: 85145680 | Owners: 840
USA Fireworks | Asset ID: 85145730 | Owners: 1,483
American Archer | Asset ID: 85145757 | Owners: 1,467
Blue Raspberry Slurpee - A 7-Eleven Exclusive | Asset ID: 85150452 | Owners: 5,035
Golden Cobra Staff | Asset ID: 85150872 | Owners: 7,256
Crystal Sword - A Walmart Exclusive | Asset ID: 85150978 | Owners: 5,866
Tyrannosaurus Limited | Asset ID: 85754656 | Owners: 344
EMP Shockmine | Asset ID: 85879435 | Owners: 399
Galactic Forcefield Glove Limited | Asset ID: 85879447 | Owners: 303
Retribution Ray Limited | Asset ID: 85879456 | Owners: 412
Torso Cannon | Asset ID: 85879465 | Owners: 353
Stealth Ninja Potion | Asset ID: 86492467 | Owners: 539
DarkAge Assassin Crossbow | Asset ID: 86492583 | Owners: 3,317
Darksteel Katana of Ancient Illuminators Limited | Asset ID: 86494893 | Owners: 4,449
Dual Katanas of the DarkAge Clan Limited | Asset ID: 86494914 | Owners: 388
RGC 2012 Gladius | Asset ID: 86692539 | Owners: 289
Inflatable Top Hat | Asset ID: 87261721 | Owners: 284
Dark Tutor | Asset ID: 87261753 | Owners: 5,221
Copper Chaos | Asset ID: 87261784 | Owners: 473
Violet Star Assassin | Asset ID: 87261819 | Owners: 1,267
Radiant Top Hat | Asset ID: 87262034 | Owners: 808
Mushroom Cap | Asset ID: 87262153 | Owners: 424
Circles | Asset ID: 87262250 | Owners: 295
Chocolate Gentleman's Hat | Asset ID: 87262303 | Owners: 317
Skull Stetson | Asset ID: 87262358 | Owners: 502
Overseer General | Asset ID: 87262534 | Owners: 4,155
Chimera | Asset ID: 87361508 | Owners: 1,150
Ice Breaker | Asset ID: 87361662 | Owners: 1,567
Meteor Staff | Asset ID: 87361806 | Owners: 3,999
Chaos Master's Wing Slasher | Asset ID: 87361995 | Owners: 843
Troll Pet Limited | Asset ID: 88143060 | Owners: 670
Poison Picnic | Asset ID: 88143074 | Owners: 329
Pigs Boson Collider | Asset ID: 88143093 | Owners: 821
Vaulting Pole | Asset ID: 88143166 | Owners: 675
First Class Fencing Sword | Asset ID: 88146486 | Owners: 732
Clown Bomb | Asset ID: 88146497 | Owners: 470
Call Me Cellphone | Asset ID: 88146505 | Owners: 2,802
Light Sentry | Asset ID: 88777383 | Owners: 1,024
Copper Helmed Guard of Dasypodidae | Asset ID: 88778238 | Owners: 268
4-3y3s | Asset ID: 88779931 | Owners: 287
Hood Of Divine Foresight | Asset ID: 88780485 | Owners: 415
Stonejaw the Terrifying | Asset ID: 88781004 | Owners: 1,536
Space Recon Helm Limited | Asset ID: 88781614 | Owners: 954
Guardian of the Temple of Light | Asset ID: 88782502 | Owners: 2,934
Discus 2012 | Asset ID: 88885268 | Owners: 1,098
Military Dress Sword | Asset ID: 88885481 | Owners: 1,553
S-79 Speed Stunter Limited | Asset ID: 88885497 | Owners: 397
Military Spy Satellite | Asset ID: 88885506 | Owners: 7,142
Stun Grenade | Asset ID: 88885524 | Owners: 872
Airstrike | Asset ID: 88885539 | Owners: 5,972
Celestial Staff | Asset ID: 89203876 | Owners: 3,706
Celestial Sword - A Walmart Exclusive | Asset ID: 89203895 | Owners: 3,453
Arachnix Drone | Asset ID: 89390416 | Owners: 48,209
Furno's Aquajet Pack and Plasma Gun | Asset ID: 89390459 | Owners: 49,343
Monster Axe | Asset ID: 89487903 | Owners: 664
Medusa Head | Asset ID: 89487934 | Owners: 2,219
Ghost Minion | Asset ID: 89488524 | Owners: 4,000
Zombie Grip Bomb Limited | Asset ID: 89491407 | Owners: 411
Celestial Astronomer Cap | Asset ID: 89609465 | Owners: 158
Unit 3021 | Asset ID: 89609598 | Owners: 359
Founding Fathers' Tricorn Limited | Asset ID: 89611341 | Owners: 305
1950's Roblox Cap | Asset ID: 89615294 | Owners: 625
Hungry Dino | Asset ID: 89615321 | Owners: 42,414
Ancient Lucky Top Hat Limited | Asset ID: 89615783 | Owners: 1,248
Madcap Bounty Hunter | Asset ID: 89616556 | Owners: 1,532
Crimson Cyber Golem | Asset ID: 89620654 | Owners: 248
Insectaur Helmet | Asset ID: 89620675 | Owners: 1,973
Green Plaid Cap | Asset ID: 89621209 | Owners: 1,150
Celestial One | Asset ID: 89622562 | Owners: 1,058
BaseSkull Cap Limited | Asset ID: 89622944 | Owners: 746
Wicked Wizard | Asset ID: 89623697 | Owners: 561
Shady Business Hat Limited | Asset ID: 89624140 | Owners: 915
Brown Plaid Hipster Cap | Asset ID: 89624838 | Owners: 165
DJ Headphones | Asset ID: 89625422 | Owners: 5,055
Tiger Skin | Asset ID: 90211299 | Owners: 869
Dart Trap | Asset ID: 90220371 | Owners: 457
Deluxe Hook Shot | Asset ID: 90220438 | Owners: 2,418
Adventure Island | Asset ID: 90242059 | Owners: 1,776
Stonetroid General | Asset ID: 90243993 | Owners: 997
Red Futurion Foot Soldier Limited | Asset ID: 90249069 | Owners: 1,652
Red Futurion Rookie | Asset ID: 90249094 | Owners: 608
Red Futurion General | Asset ID: 90249118 | Owners: 4,860
Cat Burglar | Asset ID: 90716889 | Owners: 1,091
Bear Mine Gun | Asset ID: 90718350 | Owners: 2,427
Exponential Rocket Launcher | Asset ID: 90718505 | Owners: 4,864
Anti-Ballistics Force Field | Asset ID: 90718618 | Owners: 2,105
Conjuror's Fist | Asset ID: 90718686 | Owners: 1,403
Twomind | Asset ID: 90818520 | Owners: 659
Burger Bob | Asset ID: 90819252 | Owners: 4,089
Violet Spring Fairy | Asset ID: 90820023 | Owners: 185
Friendly Muffin Man | Asset ID: 90822433 | Owners: 938
Crystal Crown of the Hinterlands | Asset ID: 90824010 | Owners: 449
Ace of Spades | Asset ID: 90829736 | Owners: 219
Purple Perfection | Asset ID: 90830525 | Owners: 477
Quarter-Note Headphones | Asset ID: 90981994 | Owners: 783
Western Daze | Asset ID: 90993358 | Owners: 163
Treasure Trick | Asset ID: 90994086 | Owners: 251
Aquatic Demolition | Asset ID: 90996107 | Owners: 2,265
Ebony Fire Helm | Asset ID: 90999179 | Owners: 1,547
Hungry Lion Friend Limited | Asset ID: 91294485 | Owners: 430
Puppet Master | Asset ID: 91360028 | Owners: 1,695
Suit Up Gun | Asset ID: 91360052 | Owners: 3,610
Psychokinesis Glove | Asset ID: 91360081 | Owners: 3,503
Stop Hitting Yourself | Asset ID: 91360104 | Owners: 2,739
Terratronic Helmet - A 7-Eleven Exclusive | Asset ID: 91432139 | Owners: 1,333
Terratronic Health Core | Asset ID: 91450692 | Owners: 1,558
Terratronic Power Sword - A Gamestop Exclusive | Asset ID: 91517984 | Owners: 3,059
Terratronic Ray Gun - A Walmart Exclusive | Asset ID: 91518057 | Owners: 3,425
Red Futurion Blaster | Asset ID: 91658290 | Owners: 6,631
Classic Bowler | Asset ID: 91664765 | Owners: 5,260
Desert Special Ops | Asset ID: 91664812 | Owners: 7,804
G.I. ROBLOX | Asset ID: 91674736 | Owners: 3,605
Ultimate Victory Limited | Asset ID: 91675439 | Owners: 29,318
Core Magma Top Hat Limited | Asset ID: 91676854 | Owners: 500
Gold Scythe Helmet | Asset ID: 91678100 | Owners: 232
Mechound | Asset ID: 91678436 | Owners: 2,168
Outlander | Asset ID: 91678737 | Owners: 796
Sailing Hat Limited | Asset ID: 91679217 | Owners: 4,320
Securbot 8990 | Asset ID: 91680412 | Owners: 3,364
Phoenix | Asset ID: 92142799 | Owners: 18,130
Rayvenge Sword | Asset ID: 92142829 | Owners: 356
Artemis Bow | Asset ID: 92142841 | Owners: 7,548
Explosive Super Glider | Asset ID: 92142950 | Owners: 4,063
Orinthian Falcon | Asset ID: 92627975 | Owners: 3,240
Orinthian Mace | Asset ID: 92627988 | Owners: 928
Orinthian Blaster 3777 | Asset ID: 92628074 | Owners: 930
Orinthian Sword and Shield | Asset ID: 92628079 | Owners: 2,391
Slime Crown | Asset ID: 92724338 | Owners: 17,870
Powerful Purple Neon DJ Headphones | Asset ID: 93000816 | Owners: 263
Turquoise Banded Cap | Asset ID: 93014557 | Owners: 235
Man of Science | Asset ID: 93018006 | Owners: 279
Turquoise Topper | Asset ID: 93018545 | Owners: 207
Steampunk Pirate | Asset ID: 93047542 | Owners: 1,349
Real Style | Asset ID: 93050897 | Owners: 152
Hippie Cap | Asset ID: 93051648 | Owners: 527
Golf Master Cap | Asset ID: 93053082 | Owners: 1,700
Black and Green Striped Fedora | Asset ID: 93068051 | Owners: 1,911
All Seeing Necromancer Limited | Asset ID: 93068184 | Owners: 336
Masked Danger | Asset ID: 93068213 | Owners: 2,446
Elite Space Trooper | Asset ID: 93068239 | Owners: 5,254
Initiate of the Mysteries | Asset ID: 93070519 | Owners: 758
Fancy Gator | Asset ID: 93070596 | Owners: 249
Neon Green Fuzzy Hood | Asset ID: 93070667 | Owners: 274
Ancient Healer | Asset ID: 93072587 | Owners: 831
Dungeon Guard | Asset ID: 93072620 | Owners: 855
Spike Dangerous | Asset ID: 93072638 | Owners: 1,459
Ambassador of the Half Moon | Asset ID: 93072671 | Owners: 212
Digital Halo | Asset ID: 93072701 | Owners: 833
Ice Walker | Asset ID: 93078505 | Owners: 2,043
Ancient Foot Soldier | Asset ID: 93078531 | Owners: 226
Knight of the Blood Moon | Asset ID: 93078560 | Owners: 2,178,912
Earth Rock Warrior | Asset ID: 93078634 | Owners: 264
Solitary Samurai | Asset ID: 93078655 | Owners: 3,530
Captain Anderson | Asset ID: 93078668 | Owners: 347
Rogue Cyborg | Asset ID: 93078790 | Owners: 2,840
Rogue Masquerader Limited | Asset ID: 93078804 | Owners: 161
Seer of Bones | Asset ID: 93107823 | Owners: 195
Champion of Zeus | Asset ID: 93107842 | Owners: 216
The Bulldozer | Asset ID: 93119319 | Owners: 970
The Crown of the Horned Prince | Asset ID: 93119357 | Owners: 709
Local Eccentric | Asset ID: 93128400 | Owners: 463
Crimson Warlock | Asset ID: 93128497 | Owners: 464
Electromagnetic Goggles | Asset ID: 93128579 | Owners: 463
Warrior Supreme | Asset ID: 93128641 | Owners: 1,023
Jealous Green Helm of Iron Thorns | Asset ID: 93128753 | Owners: 430
Shady Mercenary | Asset ID: 93131532 | Owners: 22,519
Sword of the Seven Winters | Asset ID: 93136666 | Owners: 1,208
Uppercut Sword | Asset ID: 93136674 | Owners: 1,617
XD Headphones | Asset ID: 93525532 | Owners: 30,817
Foot Clan Soldier | Asset ID: 93527410 | Owners: 65,168
TMNT Skateboard | Asset ID: 93528414 | Owners: 118,217
Zombie Axe | Asset ID: 93536785 | Owners: 1,034
Zombie Bomb | Asset ID: 93536827 | Owners: 963
Zombie Launcher | Asset ID: 93536844 | Owners: 1,472
Zombification Injection Limited | Asset ID: 93536867 | Owners: 165
TMNT Helmet | Asset ID: 93643819 | Owners: 51,766
Splinter's Staff | Asset ID: 93667422 | Owners: 15,340
Polar Bear Cub Limited | Asset ID: 93709266 | Owners: 635
Jack O' The Mist - A Target Exclusive Limited | Asset ID: 93716784 | Owners: 401
ROBLOX Zombie Cap | Asset ID: 93717192 | Owners: 1,066
Skeleton Bone Staff - A Gamestop Exclusive | Asset ID: 93722443 | Owners: 3,472
Halloween Transmuter | Asset ID: 93722515 | Owners: 2,115
Yellow Bucket Hat Limited | Asset ID: 93723594 | Owners: 266
Opened Gift of the Count's Coffin | Asset ID: 93724019 | Owners: 2,821
Sword Of The Behemoth - a Walmart Exclusive | Asset ID: 93725362 | Owners: 2,860
Crash | Asset ID: 93746675 | Owners: 113,728
Opened Gift of the Ghastly Ghostie | Asset ID: 94108159 | Owners: 2,846
Opened Stylish Gift of Skeletons | Asset ID: 94108573 | Owners: 916
Opened Outrageous Gift of the Undead | Asset ID: 94108995 | Owners: 711
Pink Pigtailed Wizard | Asset ID: 94110092 | Owners: 336
Batty Hat | Asset ID: 94110423 | Owners: 206
Halloween Boo Bow Beanie Limited | Asset ID: 94116435 | Owners: 1,916
Molecular Atomizer | Asset ID: 94119269 | Owners: 63,397
Opened Gift of the Cauldron Born | Asset ID: 94122366 | Owners: 1,707
Opened Gift of the All Seeing Eyes | Asset ID: 94123211 | Owners: 4,211
Opened Surly Gift of Sorcus II : Still Surly | Asset ID: 94127808 | Owners: 1,264
Opened Gift of the Jack-O-Lantern Matryoshka | Asset ID: 94155130 | Owners: 335
M1 Garand | Asset ID: 94233286 | Owners: 4,074
Trench Warfare Shotgun | Asset ID: 94233344 | Owners: 4,545
Ghost Blaster | Asset ID: 94233367 | Owners: 377
Ghost Dragon | Asset ID: 94233391 | Owners: 2,905
Witch McBlox's Spider Cap | Asset ID: 94248696 | Owners: 151
Vlad the Impaler, VII | Asset ID: 94248730 | Owners: 2,878
Pile O'Eyes | Asset ID: 94248778 | Owners: 4,336
Opened Gift of the Korbloxian | Asset ID: 94248802 | Owners: 610
Skull and Crossbones Fedora Limited | Asset ID: 94248837 | Owners: 1,062
Candy Corn Knit Limited | Asset ID: 94262384 | Owners: 3,358
Demon Cap Limited | Asset ID: 94265084 | Owners: 810
Fall Knit | Asset ID: 94266017 | Owners: 541
Unorthodox Pot of Gold Limited | Asset ID: 94266158 | Owners: 269
Opened Gift of Clawed Combat | Asset ID: 94306230 | Owners: 674
Opened Gift of Turbo Vision | Asset ID: 94306659 | Owners: 569
Opened Gift of the Fool's Moon | Asset ID: 94307342 | Owners: 1,347
Nightfall Elixir | Asset ID: 94333296 | Owners: 525
Cloak of the Undying | Asset ID: 94794833 | Owners: 11,546
Vampire Vanquisher: Sword and Shield | Asset ID: 94794847 | Owners: 333
The Irish Guard Limited | Asset ID: 95245701 | Owners: 3,278
Explosive Spy Pen | Asset ID: 95258660 | Owners: 662
The Ochre Eye | Asset ID: 95337850 | Owners: 607
Forbidden Box Limited | Asset ID: 95354259 | Owners: 300
Trollamom | Asset ID: 95354268 | Owners: 867
Luger Pistol | Asset ID: 95354288 | Owners: 5,240
Sten Gun | Asset ID: 95354304 | Owners: 2,184
Werewolf Claws | Asset ID: 95484098 | Owners: 1,277
Misfortune Cookie | Asset ID: 95484354 | Owners: 992
Korblox Skeleton Head | Asset ID: 95951011 | Owners: 759
Korblox Bone & Arrow | Asset ID: 95951270 | Owners: 1,537
Skeleton King's Sword | Asset ID: 95951291 | Owners: 2,444
Skeleton Scythe | Asset ID: 95951330 | Owners: 7,113
Skeleton Bomb | Asset ID: 95951359 | Owners: 421
Angry Cyclops Limited | Asset ID: 95954984 | Owners: 1,378
Scarecrow Hat | Asset ID: 95956644 | Owners: 2,624
Extreme Headphones | Asset ID: 96079043 | Owners: 888
Spider Ninja Headband Limited | Asset ID: 96079188 | Owners: 293
Scythe Headphones Limited | Asset ID: 96079286 | Owners: 239
Kilty McJig's 8-Bit Fedora Limited | Asset ID: 96079349 | Owners: 569
Franken Knit | Asset ID: 96079383 | Owners: 783
Pumpkinphones | Asset ID: 96080720 | Owners: 176
One-Eyed Guy | Asset ID: 96080750 | Owners: 894
Halloween 2012 Top Hat Limited | Asset ID: 96080771 | Owners: 520
Knit Snowflake Ear Muffs | Asset ID: 96080805 | Owners: 212
6 Feet Under | Asset ID: 96080843 | Owners: 423
Halloween Headgear | Asset ID: 96082174 | Owners: 1,112
Frankenmask | Asset ID: 96083127 | Owners: 163
Caramel Apple on Your Head | Asset ID: 96084374 | Owners: 569
Korblox Skeleton Wraith | Asset ID: 96092647 | Owners: 1,030
Sorcus' Chair Limited | Asset ID: 96095042 | Owners: 1,627
Autumn's Ninja | Asset ID: 96477179 | Owners: 593
Lightning Guard | Asset ID: 96477215 | Owners: 707
Autumn Shuriken - A Target Exclusive | Asset ID: 96493688 | Owners: 638
Autumn Oak Staff - A Walmart Exclusive | Asset ID: 96501417 | Owners: 2,949
Lightning Bolt Sword- A Gamestop Exclusive | Asset ID: 96501454 | Owners: 3,995
Striped Black Cap | Asset ID: 96618600 | Owners: 221
Danger Dagger | Asset ID: 96669682 | Owners: 12,920
Trusty Blade | Asset ID: 96669687 | Owners: 6,333
Giant Blade | Asset ID: 96669697 | Owners: 1,641
Spartan Sword and Shield | Asset ID: 96669943 | Owners: 1,386
LOL Day Cap Limited | Asset ID: 96678344 | Owners: 319,019
Hippie Beret | Asset ID: 96678371 | Owners: 264
Blue Striped Cap | Asset ID: 96678397 | Owners: 3,545
Yin Yang Cap | Asset ID: 96678423 | Owners: 590
The Star Chef | Asset ID: 96678446 | Owners: 8,232
Funky Magic Top Hat | Asset ID: 96678498 | Owners: 926
Noir Thief | Asset ID: 96678516 | Owners: 611
Deluxe Fez | Asset ID: 96678539 | Owners: 3,246
Off Duty Lieutenant | Asset ID: 96680875 | Owners: 2,427
Infinity Baseball Cap Limited | Asset ID: 96691219 | Owners: 421
Galaxy Guard | Asset ID: 96691271 | Owners: 1,747
Football Beanie | Asset ID: 96691299 | Owners: 826
Reptilian Ruler | Asset ID: 96691341 | Owners: 378
Ranch Hand | Asset ID: 96691365 | Owners: 236
Psycho Bunny | Asset ID: 97078391 | Owners: 529
Vintage Leather Cap | Asset ID: 97078441 | Owners: 463
Red Plaid Cap | Asset ID: 97078459 | Owners: 138,474
ROBLOX World Tour Cap | Asset ID: 97078478 | Owners: 86,573
Hobgoblin | Asset ID: 97078551 | Owners: 718
Inferno Monster Limited | Asset ID: 97078575 | Owners: 394
Aztec Bird | Asset ID: 97101188 | Owners: 626
Winged Samurai Helmet | Asset ID: 97101207 | Owners: 204
Angry Tiki | Asset ID: 97101263 | Owners: 327
Purple Teddy Cap | Asset ID: 97101281 | Owners: 534
Post Apocalypse General Limited | Asset ID: 97101393 | Owners: 663
Gothic Top Hat | Asset ID: 97101491 | Owners: 476
Snowler | Asset ID: 97101638 | Owners: 308
Bluesteel Alterer of Destiny Limited | Asset ID: 97161222 | Owners: 837
Super Stomp Boots | Asset ID: 97161241 | Owners: 4,587
Booster Gloves | Asset ID: 97161262 | Owners: 1,469
